strut_id,junction0_id,junction1_id,junction0_degree,junction1_degree,unit_cell_ids,unit_cell_indices,stage2_classification,expected_by_0point5_cad,primary_defect,secondary_defects,overall_deviation_score,missing_score,broken_score,thin_score,inflated_score,bend_score,sampled_occupancy,sampled_mean_intensity,median_cross_section_radius_um,p10_cross_section_radius_um,radius_cv,median_outside_nominal_fraction,max_centerline_offset_um,rms_centerline_offset_um,bend_curvature_um,longest_low_material_run_stations,valid_station_fraction,confidence,needs_review
10,5,12,2,8,0,"0,0,0",Missing_Intentional,True,Missing_Intentional,,nan,21000000.0,21000000.0,7.742568016052246,0.0,nan,0.0,32598.359375,0.0,0.0,0.0,0.0,nan,nan,nan,21,1.0,nominal_reference_calibrated,False
11,6,12,1,8,0,"0,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,0.45582810044288635,0.0,0.3320690989494324,38720.078125,199.35507202148438,185.39645385742188,0.0718187764286995,0.0,117.18120574951172,88.5262680053711,48.74456787109375,0,1.0,nominal_reference_calibrated,False
12,10,8,8,4,0,"0,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,0.3442803919315338,0.0,0.31226295232772827,38617.45703125,196.64263916015625,170.29751586914062,0.06831364333629608,0.0,78.34538269042969,56.04724884033203,35.92906188964844,0,1.0,nominal_reference_calibrated,False
13,10,9,8,8,0,"0,0,0",Nominal,False,Inflated,,7139.857421875,0.0,0.0,0.0,7142.857421875,0.3310326635837555,0.4117151200771332,39792.7265625,217.39662170410156,199.35507202148438,0.10606938600540161,0.0071428571827709675,150.75030517578125,113.12118530273438,41.61244583129883,0,1.0,nominal_reference_calibrated,False
14,10,13,8,4,0,"0,0,0",Nominal,False,Nominal,,0.0,1.50672447681427,0.0,1.7149869203567505,0.0,0.12547548115253448,0.17783395946025848,36775.8046875,146.5687713623047,139.04734802246094,0.046768467873334885,0.0,137.74606323242188,104.21284484863281,39.6720085144043,0,1.0,nominal_reference_calibrated,False
15,10,12,8,8,0,"0,0,0",Nominal,False,Nominal,,0.0,0.42971566319465637,0.0,0.6106383204460144,0.0,0.7510436177253723,0.2612726390361786,37923.99609375,173.42250061035156,163.86886596679688,0.06374755501747131,0.0,132.6310577392578,95.37992095947266,65.83296203613281,0,1.0,nominal_reference_calibrated,False
16,11,9,4,8,0,"0,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,2.5220324993133545,0.0,0.533923327922821,41176.49609375,249.59762573242188,229.41641235351562,0.09800277650356293,0.0,87.62129974365234,68.99876403808594,47.836151123046875,0,1.0,screening,True
17,11,13,4,4,0,"0,0,0",Nominal,False,Nominal,,0.0,0.1795015037059784,0.0,0.11821437627077103,0.0,0.2494073212146759,0.2806573808193207,38563.00390625,185.39645385742188,173.42250061035156,0.04292594641447067,0.0,145.58641052246094,125.56453704833984,50.59742736816406,0,1.0,nominal_reference_calibrated,False
18,11,8,4,4,0,"0,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,1.1977794170379639,0.0,0.3931731879711151,39787.30078125,217.39662170410156,202.03109741210938,0.05879710242152214,0.0,103.28972625732422,89.50260162353516,50.684444427490234,0,1.0,nominal_reference_calibrated,False
19,12,9,8,8,0,"0,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.23829057812690735,0.0,1.5122750997543335,0.29498526453971863,38267.61328125,182.4766387939453,170.29751586914062,0.10961254686117172,0.0,104.14790344238281,81.21167755126953,79.01547241210938,0,1.0,nominal_reference_calibrated,False
20,12,11,8,4,0,"0,0,0",Nominal,False,Nominal,,0.0,1.7134230136871338,0.0,2.0243024826049805,0.0,0.0,0.16182048618793488,36321.6640625,139.04734802246094,126.9322738647461,0.06294146180152893,0.0,119.30133056640625,93.62176513671875,42.762325286865234,0,1.0,nominal_reference_calibrated,False
21,12,8,8,4,0,"0,0,0",Nominal,False,Nominal,,0.0,0.984538197517395,0.0,0.8700684905052185,0.0,0.0,0.2182890921831131,37396.15625,167.11410522460938,139.04734802246094,0.10938743501901627,0.0,97.08928680419922,61.392154693603516,31.398149490356445,0,1.0,nominal_reference_calibrated,False
22,13,8,4,4,0,"0,0,0",Nominal,False,Nominal,,0.0,0.40795764327049255,0.0,0.36031895875930786,0.0,0.896571934223175,0.262958288192749,38147.6796875,179.5093536376953,163.86886596679688,0.05924985930323601,0.0,97.97760772705078,82.95882415771484,68.3531265258789,0,1.0,nominal_reference_calibrated,False
23,13,9,4,8,0,"0,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.11821437627077103,0.0,0.24213241040706635,0.29498526453971863,38774.82421875,185.39645385742188,176.49217224121094,0.06794237345457077,0.0,145.1261749267578,119.1924819946289,52.108970642089844,0,1.0,nominal_reference_calibrated,False
24,14,23,3,8,1,"1,0,0",Nominal,False,Inflated,,771425.5625,0.0,0.0,0.0,771428.5625,0.0,0.9591234922409058,48312.96875,346.8450012207031,327.73773193359375,0.027303939685225487,0.7714285850524902,46.59320831298828,20.37431526184082,21.729839324951172,0,1.0,nominal_reference_calibrated,False
25,15,23,2,8,1,"1,0,0",Nominal,False,Inflated,,978568.4375,0.0,0.0,0.0,978571.4375,0.0,1.0,49874.21875,348.3899841308594,348.3899841308594,1.6316031703490064e-16,0.9785714149475098,0.0070658461190760136,0.003906287252902985,0.011660459451377392,0,1.0,nominal_reference_calibrated,False
26,16,23,1,8,1,"1,0,0",Nominal,False,Inflated,,999997.0,0.0,0.0,0.0,1000000.0,0.0,1.0,49484.62109375,348.3899841308594,348.3899841308594,1.6316031703490064e-16,1.0,0.003025736892595887,0.0019020448671653867,0.00916800182312727,0,1.0,nominal_reference_calibrated,False
27,17,23,2,8,1,"1,0,0",Nominal,False,Inflated,,999997.0,0.0,0.0,0.0,1000000.0,0.0,1.0,50213.3125,348.3899841308594,348.3899841308594,1.6316031703490064e-16,1.0,0.006585154216736555,0.003779900958761573,0.020515412092208862,0,1.0,nominal_reference_calibrated,False
28,14,24,3,8,1,"1,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,0.3442803919315338,0.23524734377861023,0.3341761529445648,39021.1484375,196.64263916015625,182.4766387939453,0.09132838994264603,0.0,118.29225158691406,86.88145446777344,56.90073776245117,0,1.0,nominal_reference_calibrated,False
29,17,24,2,8,1,"1,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,0.5658785700798035,0.1408325582742691,0.4117151200771332,39860.1953125,202.03109741210938,185.39645385742188,0.17296379804611206,0.0,134.23013305664062,102.2740478515625,55.265724182128906,0,1.0,nominal_reference_calibrated,False
30,18,24,1,8,1,"1,0,0",Nominal,False,Nominal,,0.0,0.647292971611023,0.0,0.7391520142555237,0.0,0.07089602947235107,0.24441635608673096,37937.28515625,170.29751586914062,163.86886596679688,0.03264065831899643,0.0,134.29318237304688,109.30924987792969,42.50177764892578,0,1.0,nominal_reference_calibrated,False
31,19,24,2,8,1,"1,0,0",Nominal,False,Nominal,,0.0,0.42971566319465637,0.0,0.48439931869506836,0.0,0.0,0.2612726390361786,37980.09375,176.49217224121094,170.29751586914062,0.04673761874437332,0.0,104.24938201904297,88.77765655517578,34.173011779785156,0,1.0,nominal_reference_calibrated,False
32,14,26,3,8,1,"1,0,0",Nominal,False,Inflated,,14282.71484375,0.0,0.0,0.0,14285.71484375,0.5375702977180481,0.41129371523857117,39946.90234375,222.2825469970703,207.279541015625,0.06095670163631439,0.014285714365541935,134.1846923828125,114.79850006103516,62.13616943359375,0,1.0,nominal_reference_calibrated,False
33,15,26,2,8,1,"1,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,1.398711085319519,0.22084861993789673,0.45849135518074036,40321.39453125,222.2825469970703,207.279541015625,0.11896120011806488,0.0,90.94847106933594,61.299678802490234,56.651390075683594,0,1.0,nominal_reference_calibrated,False
34,19,26,2,8,1,"1,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,0.3442803919315338,0.2736966609954834,0.34260430932044983,39158.96484375,196.64263916015625,188.27099609375,0.08210470527410507,0.0,93.8421630859375,65.96031188964844,57.56657791137695,0,1.0,nominal_reference_calibrated,False
35,20,26,1,8,1,"1,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,0.5658785700798035,0.12119994312524796,0.33080488443374634,38786.4296875,202.03109741210938,185.39645385742188,0.06326969712972641,0.0,136.94972229003906,113.97578430175781,54.92573928833008,0,1.0,nominal_reference_calibrated,False
36,24,22,8,4,1,"1,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,1.1977794170379639,0.0,0.3851664662361145,39680.75,217.39662170410156,207.279541015625,0.04968435689806938,0.0,88.015625,72.18194580078125,48.79048538208008,0,1.0,nominal_reference_calibrated,False
37,24,23,8,8,1,"1,0,0",Nominal,False,Inflated,,21425.572265625,0.0,0.0,0.0,21428.572265625,0.25944221019744873,0.5899705290794373,41966.12109375,249.59762573242188,207.279541015625,0.16893312335014343,0.02142857201397419,97.00108337402344,63.60485076904297,57.31972885131836,0,1.0,nominal_reference_calibrated,False
38,24,27,8,4,1,"1,0,0",Nominal,False,Nominal,,0.0,1.800454020500183,0.0,2.0243024826049805,0.0,0.3372321128845215,0.1550779640674591,36519.484375,139.04734802246094,118.16751861572266,0.09061378240585327,0.0,150.50640869140625,135.83547973632812,58.66684341430664,0,1.0,nominal_reference_calibrated,False
39,24,26,8,8,1,"1,0,0",Nominal,False,Nominal,,0.0,0.01631821319460869,0.0,0.0,0.11643600463867188,0.0,0.2932996153831482,38725.015625,191.102294921875,179.5093536376953,0.03655001521110535,0.0,119.12696838378906,105.8792724609375,46.18232727050781,0,1.0,nominal_reference_calibrated,False
40,25,23,4,8,1,"1,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,2.955326795578003,0.0,0.6257901191711426,42229.43359375,260.1337585449219,236.3350372314453,0.14015476405620575,0.0,110.91091918945312,78.06359100341797,39.55780792236328,0,1.0,screening,True
41,25,27,4,4,1,"1,0,0",Nominal,False,Nominal,,0.0,0.20125912129878998,0.0,0.23829057812690735,0.0,0.23529791831970215,0.27897176146507263,38585.125,182.4766387939453,167.11410522460938,0.05445493385195732,0.0,144.6938018798828,131.9171600341797,47.704505920410156,0,1.0,nominal_reference_calibrated,False
42,25,22,4,4,1,"1,0,0",Nominal,False,Nominal,,0.0,0.35356321930885315,0.0,0.23829057812690735,0.0,1.2044706344604492,0.26717236638069153,37997.20703125,182.4766387939453,135.12973022460938,0.16508013010025024,0.0,206.00694274902344,126.81180572509766,46.20493698120117,0,1.0,nominal_reference_calibrated,False
43,26,23,8,8,1,"1,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,1.0956004858016968,0.0,0.41803625226020813,39845.4375,214.91200256347656,188.27099609375,0.16893213987350464,0.0,117.5062255859375,94.02899932861328,44.975345611572266,0,1.0,nominal_reference_calibrated,False
44,26,25,8,4,1,"1,0,0",Nominal,False,Nominal,,0.0,1.4360116720199585,0.0,1.4207875728607178,0.0,1.672508955001831,0.18331226706504822,36711.453125,153.72262573242188,135.12973022460938,0.07924868166446686,0.0,144.9741668701172,121.52374267578125,81.79029846191406,0,1.0,nominal_reference_calibrated,False
45,26,22,8,4,1,"1,0,0",Nominal,False,Nominal,,0.0,0.6636114120483398,0.0,0.7391520142555237,0.0,0.0,0.24315212666988373,37890.3984375,170.29751586914062,163.86886596679688,0.059306055307388306,0.0,81.86982727050781,61.54825973510742,34.48003387451172,0,1.0,nominal_reference_calibrated,False
46,27,22,4,4,1,"1,0,0",Nominal,False,Nominal,,0.0,0.0598338358104229,0.0,0.11821437627077103,0.0,0.21083691716194153,0.2899283468723297,38352.0859375,185.39645385742188,176.49217224121094,0.044968001544475555,0.0,143.1463165283203,116.28358459472656,56.19961929321289,0,1.0,nominal_reference_calibrated,False
47,27,23,4,8,1,"1,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,1.0956004858016968,1.8822991847991943,0.4631268382072449,40213.28125,214.91200256347656,193.8922576904297,0.19345052540302277,0.0,119.31777954101562,87.96985626220703,85.42330932617188,0,1.0,nominal_reference_calibrated,False
48,28,37,3,8,2,"2,0,0",Nominal,False,Inflated,,878568.4375,0.0,0.0,0.0,878571.4375,0.0,0.993257462978363,49218.3359375,348.3899841308594,345.2931213378906,0.005685036536306143,0.8785714507102966,14.352521896362305,4.325595378875732,14.781249046325684,0,1.0,nominal_reference_calibrated,False
49,29,37,2,8,2,"2,0,0",Nominal,False,Inflated,,992854.1875,0.0,0.0,0.0,992857.1875,0.0,1.0,50517.8828125,348.3899841308594,348.3899841308594,1.6316031703490064e-16,0.9928571581840515,0.00847560167312622,0.004576754290610552,0.013344376347959042,0,1.0,nominal_reference_calibrated,False
50,30,37,1,8,2,"2,0,0",Nominal,False,Inflated,,999997.0,0.0,0.0,0.0,1000000.0,0.0,1.0,50219.6015625,348.3899841308594,348.3899841308594,1.6316031703490064e-16,1.0,0.0024581269826740026,0.0018684187671169639,0.008676791563630104,0,1.0,nominal_reference_calibrated,False
51,31,37,2,8,2,"2,0,0",Nominal,False,Inflated,,999997.0,0.0,0.0,0.0,1000000.0,0.0,1.0,50606.3203125,348.3899841308594,348.3899841308594,1.6316031703490064e-16,1.0,0.0097041679546237,0.006291242316365242,0.018520470708608627,0,1.0,nominal_reference_calibrated,False
52,28,38,3,8,2,"2,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,1.0956004858016968,0.27859771251678467,0.42688578367233276,39897.69140625,214.91200256347656,193.8922576904297,0.13831660151481628,0.0,124.90428161621094,102.36446380615234,57.651451110839844,0,1.0,nominal_reference_calibrated,False
53,31,38,2,8,2,"2,0,0",Nominal,False,Inflated,,35711.2890625,0.0,0.0,0.0,35714.2890625,0.0,0.5490939617156982,41245.58984375,234.0515594482422,196.64263916015625,0.21160267293453217,0.0357142873108387,129.25070190429688,98.53326416015625,33.05015563964844,0,1.0,nominal_reference_calibrated,False
54,32,38,1,8,2,"2,0,0",Nominal,False,Nominal,,0.0,0.5330647230148315,0.0,0.7391520142555237,0.0,0.06540321558713913,0.253265917301178,37923.109375,170.29751586914062,160.55804443359375,0.06900368630886078,0.0,115.58502197265625,87.32543182373047,53.95948791503906,0,1.0,nominal_reference_calibrated,False
55,33,38,2,8,2,"2,0,0",Nominal,False,Nominal,,0.0,0.4242762327194214,0.0,0.36031895875930786,0.0,2.339594602584839,0.2616940438747406,37953.1328125,179.5093536376953,163.86886596679688,0.06686876714229584,0.0,131.86593627929688,112.36136627197266,93.34245300292969,0,1.0,nominal_reference_calibrated,False
56,28,40,3,8,2,"2,0,0",Nominal,False,Inflated,,14282.71484375,0.0,0.0,0.0,14285.71484375,0.307633638381958,0.4572271406650543,40549.01171875,227.0633544921875,212.39833068847656,0.11226067692041397,0.014285714365541935,149.27000427246094,121.04106140136719,50.00798416137695,0,1.0,nominal_reference_calibrated,False
57,29,40,2,8,2,"2,0,0",Nominal,False,Inflated,,21425.572265625,0.0,0.0,0.0,21428.572265625,0.0,0.5596291422843933,41337.48046875,255.97134399414062,219.8531494140625,0.11435369402170181,0.02142857201397419,94.93779754638672,68.97599792480469,46.45664978027344,0,1.0,nominal_reference_calibrated,False
58,33,40,2,8,2,"2,0,0",Nominal,False,Bent,,0.5010371208190918,0.46779149770736694,0.0,0.23829057812690735,0.0,3.501037120819092,0.2583228051662445,37689.8515625,182.4766387939453,142.85755920410156,0.13733243942260742,0.0,215.0670166015625,117.4723892211914,113.45555877685547,0,1.0,nominal_reference_calibrated,False
59,34,40,1,8,2,"2,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,0.5658785700798035,0.6298429369926453,0.3249051868915558,38451.34375,202.03109741210938,182.4766387939453,0.06102461367845535,0.0,169.654052734375,141.46629333496094,49.57737731933594,0,1.0,nominal_reference_calibrated,False
60,38,36,8,4,2,"2,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,0.992226779460907,0.11060655862092972,0.37168142199516296,39389.7265625,212.39833068847656,196.64263916015625,0.0508120022714138,0.0,136.80540466308594,123.99701690673828,39.520301818847656,0,1.0,nominal_reference_calibrated,False
61,38,37,8,8,2,"2,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,2.8700830936431885,0.0,0.6649810075759888,42781.9140625,258.0609436035156,238.59666442871094,0.15492911636829376,0.0,83.17133331298828,46.6562385559082,38.30952453613281,0,1.0,screening,True
62,38,41,8,4,2,"2,0,0",Nominal,False,Nominal,,0.0,1.430572271347046,0.0,1.5661356449127197,0.0,0.49414247274398804,0.18373367190361023,36906.48046875,150.18829345703125,139.04734802246094,0.059058912098407745,0.0,161.06918334960938,147.43820190429688,52.67644500732422,0,1.0,nominal_reference_calibrated,False
63,38,40,8,8,2,"2,0,0",Nominal,False,Nominal,,0.0,0.16318289935588837,0.0,0.11821437627077103,0.0,0.23454201221466064,0.2819216251373291,38591.25390625,185.39645385742188,173.42250061035156,0.04781283065676689,0.0,144.64598083496094,128.17654418945312,51.017459869384766,0,1.0,nominal_reference_calibrated,False
64,39,37,4,8,2,"2,0,0",Nominal,False,Inflated,,114282.71875,0.0,0.0,0.0,114285.71875,0.27823153138160706,0.7033291459083557,43185.16015625,274.2050476074219,231.74557495117188,0.16188284754753113,0.11428571492433548,147.40992736816406,89.14434051513672,50.60715103149414,0,1.0,nominal_reference_calibrated,False
65,39,41,4,4,2,"2,0,0",Nominal,False,Nominal,,0.0,0.20125912129878998,0.0,0.23829057812690735,0.0,0.7307884097099304,0.27897176146507263,38567.12890625,182.4766387939453,173.42250061035156,0.06191675364971161,0.0,176.0402069091797,151.40518188476562,50.359405517578125,0,1.0,nominal_reference_calibrated,False
66,39,36,4,4,2,"2,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,0.45582810044288635,0.0,0.32279813289642334,38862.0390625,199.35507202148438,179.5093536376953,0.0628194808959961,0.0,108.54591369628906,94.84693145751953,50.3125,0,1.0,nominal_reference_calibrated,False
67,40,37,8,8,2,"2,0,0",Nominal,False,Inflated,,35711.2890625,0.0,0.0,0.0,35714.2890625,0.7233317494392395,0.4964180290699005,40759.49609375,231.74557495117188,193.8922576904297,0.19050806760787964,0.0357142873108387,160.91543579101562,111.62682342529297,65.35306549072266,0,1.0,nominal_reference_calibrated,False
68,40,39,8,4,2,"2,0,0",Nominal,False,Nominal,,0.0,1.0552510023117065,0.0,1.1396838426589966,0.0,0.5255168080329895,0.21281078457832336,37152.28125,160.55804443359375,142.85755920410156,0.07447695732116699,0.0,163.0540313720703,144.7921600341797,56.185585021972656,0,1.0,nominal_reference_calibrated,False
69,40,36,8,4,2,"2,0,0",Nominal,False,Nominal,,0.0,0.5711409449577332,0.0,0.6106383204460144,0.0,0.0,0.2503160536289215,37916.02734375,173.42250061035156,167.11410522460938,0.05032544583082199,0.0,111.11129760742188,93.87872314453125,37.214107513427734,0,1.0,nominal_reference_calibrated,False
70,41,36,4,4,2,"2,0,0",Nominal,False,Nominal,,0.0,0.40795764327049255,0.0,0.36031895875930786,0.0,0.21676523983478546,0.262958288192749,37862.3046875,179.5093536376953,173.42250061035156,0.035504505038261414,0.0,143.5213623046875,136.3810272216797,30.461593627929688,0,1.0,nominal_reference_calibrated,False
71,41,37,4,8,2,"2,0,0",Nominal,False,Inflated,,28568.4296875,0.0,0.0,0.0,28571.4296875,0.16167210042476654,0.6009271144866943,41453.01953125,245.25645446777344,202.03109741210938,0.20158791542053223,0.02857142873108387,124.52584075927734,82.330078125,55.626609802246094,0,1.0,nominal_reference_calibrated,False
72,42,51,3,8,3,"3,0,0",Nominal,False,Inflated,,978568.4375,0.0,0.0,0.0,978571.4375,0.0,0.999578595161438,50346.98828125,348.3899841308594,348.3899841308594,0.000944589264690876,0.9785714149475098,3.1099886894226074,0.6786590218544006,6.219257354736328,0,1.0,nominal_reference_calibrated,False
73,43,51,2,8,3,"3,0,0",Nominal,False,Inflated,,999997.0,0.0,0.0,0.0,1000000.0,0.0,1.0,50918.71484375,348.3899841308594,348.3899841308594,1.6316031703490064e-16,1.0,0.007128384429961443,0.004611338023096323,0.013198696076869965,0,1.0,nominal_reference_calibrated,False
74,44,51,1,8,3,"3,0,0",Nominal,False,Inflated,,999997.0,0.0,0.0,0.0,1000000.0,0.0,1.0,50202.34375,348.3899841308594,348.3899841308594,1.6316031703490064e-16,1.0,0.007190884090960026,0.0035458949860185385,0.008894679136574268,0,1.0,nominal_reference_calibrated,False
75,45,51,2,8,3,"3,0,0",Nominal,False,Inflated,,999997.0,0.0,0.0,0.0,1000000.0,0.0,1.0,50539.05859375,348.3899841308594,348.3899841308594,1.6316031703490064e-16,1.0,0.009950809180736542,0.006800985895097256,0.020749269053339958,0,1.0,nominal_reference_calibrated,False
76,42,52,3,8,3,"3,0,0",Nominal,False,Inflated,,28568.4296875,0.0,0.0,0.0,28571.4296875,0.4840182363986969,0.516645610332489,40947.5625,243.0568084716797,204.67214965820312,0.13634878396987915,0.02857142873108387,128.2906494140625,103.78889465332031,61.20878982543945,0,1.0,nominal_reference_calibrated,False
77,45,52,2,8,3,"3,0,0",Nominal,False,Inflated,,49997.0,0.0,0.0,0.0,50000.0,0.18626545369625092,0.6312684416770935,42039.5390625,253.8645477294922,212.39833068847656,0.20397353172302246,0.05000000074505806,141.5918426513672,96.1102523803711,25.332778930664062,0,1.0,nominal_reference_calibrated,False
78,46,52,1,8,3,"3,0,0",Nominal,False,Nominal,,0.0,0.647292971611023,0.0,0.7391520142555237,0.0,0.0,0.24441635608673096,37789.046875,170.29751586914062,153.72262573242188,0.09337883442640305,0.0,116.34315490722656,97.16586303710938,43.172115325927734,0,1.0,nominal_reference_calibrated,False
79,47,52,2,8,3,"3,0,0",Nominal,False,Nominal,,0.0,0.45147326588630676,0.0,0.48439931869506836,0.0,0.8543683886528015,0.25958701968193054,37808.515625,176.49217224121094,167.11410522460938,0.051680754870176315,0.0,183.85829162597656,144.9588623046875,47.486446380615234,0,1.0,nominal_reference_calibrated,False
80,42,54,3,8,3,"3,0,0",Nominal,False,Inflated,,35711.2890625,0.0,0.0,0.0,35714.2890625,0.5279123783111572,0.5225452780723572,41354.27734375,240.83706665039062,207.279541015625,0.1552421897649765,0.0357142873108387,163.20558166503906,119.8111801147461,49.54648971557617,0,1.0,nominal_reference_calibrated,False
81,43,54,2,8,3,"3,0,0",Nominal,False,Inflated,Bent,42854.14453125,0.0,0.0,0.0,42857.14453125,3.2418160438537598,0.4879898726940155,40426.08203125,231.74557495117188,157.177490234375,0.27155524492263794,0.04285714402794838,249.8201904296875,122.69429016113281,108.96653747558594,0,1.0,screening,True
82,47,54,2,8,3,"3,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,0.7817186713218689,0.0,0.3662031292915344,39594.3515625,207.279541015625,199.35507202148438,0.062464386224746704,0.0,109.02471160888672,81.70250701904297,50.67089080810547,0,1.0,nominal_reference_calibrated,False
83,48,54,1,8,3,"3,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,0.11643600463867188,0.7316548228263855,0.2975136935710907,37952.80078125,191.102294921875,173.42250061035156,0.06822872161865234,0.0,176.0950164794922,159.76588439941406,37.91679000854492,0,1.0,nominal_reference_calibrated,False
84,52,50,8,4,3,"3,0,0",Nominal,False,Nominal,,0.0,0.0,0.0,0.0,0.887614369392395,0.45203205943107605,0.3695743680000305,39338.75390625,209.8545379638672,193.8922576904297,0.059736717492341995,0.0,158.40513610839844,141.55491638183594,48.26321792602539,0,1.0,nominal_reference_calibrated,False
85,52,51,8,8,3,"3,0,0",Nominal,False,Inflated,,135711.296875,0.0,0.0,0.0,135714.296875,0.12075343728065491,0.7846607565879822,44114.7890625,314.35498046875,251.74012756347656,0.12917248904705048,0.13571429252624512,73.41729736328125,40.561798095703125,54.918006896972656,0,1.0,nominal_reference_calibrated,False
86,52,55,8,4,3,"3,0,0",Nominal,False,Nominal,,0.0,1.24019193649292,0.0,1.4207875728607178,0.0,1.101427674293518,0.1984829306602478,37014.6796875,153.72262573242188,146.5687713623047,0.07188531011343002,0.0,199.48809814453125,172.3032989501953,49.63889694213867,0,1.0,nominal_reference_calibrated,False
