component,voxels,volume_voxels,equivalent_diameter_voxels,centroid_x,centroid_y,centroid_z,bbox_z,bbox_y,bbox_x,max_dimension_voxels,surface_faces,sphericity,aspect_ratio,orientation_z
41,77,77,5.278340074235308,55.90909090909091,160.41558441558442,11.870129870129869,7,15,14,15,356,0.24586381148940534,1.764575377696968,3.159932286453937
42,84,84,5.43367369666554,74.75,160.88095238095238,11.964285714285715,7,15,15,15,410,0.2262315260920593,1.717620681046516,3.1345525137399344
43,64,64,4.9628039271952,94.65625,160.453125,11.96875,7,15,15,15,330,0.23447155694785005,1.7733463466515669,3.3153016755001463
44,96,96,5.680992338459954,124.07291666666667,169.95833333333334,11.979166666666668,7,16,15,16,424,0.23912909666165916,1.680356251251358,3.243087273783741
45,102,102,5.796962840557109,163.0392156862745,169.8921568627451,11.980392156862745,7,15,15,15,390,0.2706987801011952,1.8814207251716089,3.357773240852889
46,28,28,3.767498918725543,72.78571428571428,24.107142857142858,13.0,6,9,8,9,162,0.275258748418657,3.0505949327840085,2.3750509985545767
47,27,27,3.7221029453964,54.074074074074076,25.037037037037038,12.88888888888889,6,8,8,8,128,0.34002955280034897,4.53891506104289,2.730999849039637
48,38,38,4.1712061879988935,63.68421052631579,33.868421052631575,13.078947368421053,6,11,11,11,190,0.28768656976309553,2.270091216674434,2.620246891578237
49,45,45,4.413041015034398,54.48888888888889,42.31111111111111,13.28888888888889,7,12,12,12,222,0.2755959466664362,1.9798389842693513,2.6580551635539216
51,39,39,4.207479366835002,55.61538461538461,62.12820512820513,13.153846153846153,6,12,9,12,228,0.24392651751628458,2.3592974660720087,2.86793881736067
52,50,50,4.570781497340832,46.02,72.34,12.52,6,13,8,13,242,0.27121607589617047,2.141617096519242,3.0320575882969125
53,45,45,4.413041015034398,45.84444444444444,91.71111111111111,12.555555555555555,6,12,9,12,232,0.26371681103426226,2.0086699778398125,2.739435302737428
54,38,38,4.1712061879988935,55.578947368421055,82.42105263157895,12.763157894736842,6,12,7,12,228,0.23973880813591295,2.3251159811636484,2.9469151687410013
56,54,54,4.689555850780632,45.46296296296296,111.98148148148148,12.481481481481481,6,13,13,13,274,0.2521521844393812,1.7869939565509003,2.7972067197842474
57,42,42,4.312709671069407,55.92857142857143,102.30952380952381,12.857142857142858,6,12,7,12,242,0.24145430447938626,2.3457854680369823,2.949922627280636
58,46,46,4.445491011401585,74.97826086956522,121.08695652173913,12.869565217391305,6,14,12,14,268,0.2316618667380822,2.117448210395917,2.997240887340798
59,58,58,4.802600448448948,55.3448275862069,121.20689655172414,12.637931034482758,6,13,13,13,304,0.23835770941031917,1.683562470743107,2.6819284030905246
60,60,60,4.857180126010561,45.5,130.91666666666669,12.35,6,14,13,14,288,0.2573509665219448,1.7630218625604677,2.8505482023888247
61,68,68,5.064113492312934,65.04411764705883,131.19117647058823,12.485294117647058,6,13,13,13,352,0.2288832805288328,1.7144712125237969,2.6885976597561063
62,58,58,4.802600448448948,84.77586206896552,130.86206896551724,12.827586206896552,6,13,11,13,286,0.2533592435690106,1.8077571429222277,2.6653747048319
63,65,65,4.988518396225169,103.61538461538461,130.95384615384614,12.784615384615385,6,13,11,13,304,0.2571694910081671,1.93776191601182,2.8547009617033448
64,63,63,4.936820184470645,123.23809523809524,130.84126984126982,12.571428571428571,6,13,11,13,296,0.2586740005325831,1.8241754053048047,2.6234547470849368
65,69,69,5.08881687589421,143.14492753623188,130.56521739130434,12.73913043478261,6,13,11,13,274,0.29691555855878266,1.9414249062006066,2.6715746823000797
66,48,48,4.509006607147306,93.91666666666667,121.375,12.6875,6,12,11,12,256,0.24950063240465034,2.124588208514445,2.9253232855631652
67,58,58,4.802600448448948,113.41379310344827,121.12068965517241,12.827586206896552,6,12,10,12,280,0.2587883702169179,1.8988363926529699,2.4664981327638786
68,73,73,5.1853102442204015,113.82191780821918,140.75342465753425,12.424657534246576,6,13,13,13,352,0.23996986163076947,1.7607998131783502,2.835914400054526
69,63,63,4.936820184470645,133.22222222222223,140.5079365079365,12.46031746031746,6,13,12,13,278,0.2754226768260597,1.7965698248178248,2.6351674219249697
72,33,33,3.979590992379178,103.75757575757575,31.90909090909091,13.363636363636363,5,11,8,11,182,0.27337283906698284,2.0269578706036238,2.5410039961010096
73,46,46,4.445491011401585,142.32608695652175,31.58695652173913,13.304347826086957,5,11,9,11,204,0.30434009944022566,2.0850294653411976,2.3996674991652314
74,30,30,3.855146420814098,94.03333333333333,41.96666666666667,13.7,5,9,8,9,164,0.2847002048181563,2.162476464455591,2.20558562385073
75,32,32,3.938980087370786,74.03125,42.125,13.46875,5,9,10,10,184,0.2649107732773719,2.133424059123273,2.332140336802931
76,37,37,4.13429092290855,64.1081081081081,52.648648648648646,13.35135135135135,5,11,10,11,192,0.27967310998679223,2.1399882395397065,2.4298744502105705
77,38,38,4.1712061879988935,64.65789473684211,72.55263157894737,12.947368421052632,5,11,10,11,194,0.28175488791231007,2.186653769720646,2.652067723973972
78,40,40,4.2431376717882205,74.125,82.225,13.35,5,10,10,10,196,0.28858120820819844,2.1644713422301436,2.2571270124830956
79,36,36,4.096704379531774,66.13888888888889,92.52777777777777,13.055555555555555,5,11,7,11,194,0.2717799378980145,2.444457376366601,2.5607962085128513
80,45,45,4.413041015034398,103.6,92.11111111111111,13.28888888888889,5,10,11,11,228,0.2683434217541616,2.0328462153006313,2.302706998028533
81,42,42,4.312709671069407,74.66666666666666,102.30952380952381,13.071428571428571,5,11,12,12,244,0.2394751708361126,1.9675259221654517,2.5246026564041353
82,30,30,3.855146420814098,83.9,92.53333333333333,13.4,5,10,10,10,170,0.2746519622951625,2.0523007831703666,2.1928656988534105
83,39,39,4.207479366835002,113.56410256410257,101.33333333333333,13.256410256410257,5,11,10,11,200,0.2780762299685644,1.8847476554772107,2.1960836497064586
85,43,43,4.34666941315382,94.04651162790698,101.95348837209302,13.418604651162791,5,11,10,11,232,0.25584392550119317,2.3683403704528523,2.4522474800155836
86,54,54,4.689555850780632,65.01851851851852,111.79629629629629,13.037037037037036,5,12,12,12,288,0.23989478658468905,1.953962762019568,2.706824218457331
87,42,42,4.312709671069407,83.69047619047619,111.16666666666667,12.880952380952381,5,12,12,12,240,0.24346642368338114,2.0278438093691644,2.7268837998117754
88,50,50,4.570781497340832,104.22,110.96,13.0,5,12,11,12,270,0.2430899643217528,1.977236329612544,2.5885146803095176
89,50,50,4.570781497340832,123.26,110.68,13.06,5,12,9,12,226,0.29041721401271353,1.9822243902232213,2.3544923034077474
90,58,58,4.802600448448948,143.27586206896552,110.94827586206897,13.189655172413794,5,11,11,11,238,0.3044569061375505,2.022620868140239,2.6268659651548645
91,47,47,4.477474060769193,152.68085106382978,101.70212765957447,13.212765957446809,5,11,7,11,182,0.34605461213646116,2.714308380646281,3.0578754712389373
92,43,43,4.34666941315382,133.3953488372093,100.93023255813954,13.627906976744185,5,11,9,11,188,0.3157222910440256,2.0468484547429795,2.3026882381313416
93,57,57,4.774839132028925,133.17543859649123,120.73684210526316,13.0,5,11,9,11,228,0.31414670914004583,2.022159690412307,2.4587443316951934
94,35,35,4.058415182579961,113.54285714285714,41.6,13.8,4,9,8,9,162,0.31940948325356694,2.2847846495341213,2.1151944839635832
95,29,29,3.8118265020254034,132.41379310344826,41.758620689655174,13.827586206896552,4,8,5,8,124,0.3681242589887059,2.216991034732012,1.9807737080970254
96,32,32,3.938980087370786,84.0,52.21875,13.90625,4,8,8,8,172,0.2833929202502118,2.2621460016064567,2.0961610111370548
97,27,27,3.7221029453964,104.03703703703704,51.629629629629626,13.925925925925926,4,8,7,8,132,0.32972562695791413,2.252143901564881,1.8783845117192188
98,35,35,4.058415182579961,123.34285714285714,52.25714285714286,13.82857142857143,4,8,6,8,132,0.3920025476293776,2.2857186274010424,2.1151222426050964
100,27,27,3.7221029453964,142.44444444444446,52.111111111111114,13.925925925925926,4,9,5,9,120,0.36269818965370554,2.253711176653032,1.894254260620775
101,34,34,4.019389542491952,93.79411764705883,62.0,13.617647058823529,4,9,7,9,174,0.29168951670620397,2.157948047291633,1.958774943643485
102,30,30,3.855146420814098,73.73333333333333,62.266666666666666,13.633333333333333,4,9,8,9,168,0.27792162851296204,2.2145731263648587,2.144867428080459
103,37,37,4.13429092290855,83.83783783783784,72.32432432432432,13.621621621621621,4,8,8,8,176,0.3050979381674097,2.097585325934357,1.9640522824259565
104,33,33,3.979590992379178,103.6969696969697,72.18181818181819,13.696969696969697,4,9,8,9,168,0.29615390898923144,2.300562782648681,1.899269581741682
105,29,29,3.8118265020254034,123.3103448275862,71.79310344827587,13.96551724137931,4,9,6,9,126,0.36228101678253594,2.5192961611466,2.2263698044731237
107,30,30,3.855146420814098,93.9,82.46666666666667,13.766666666666667,4,8,8,8,156,0.29930021532165146,2.563756452801681,2.1409489285389083
108,25,25,3.627831678597809,113.4,82.96,13.52,4,6,9,9,120,0.3445584334505663,2.5878743959194437,2.0999980629505663
110,31,31,3.897514059625756,133.16129032258064,83.09677419354838,13.774193548387096,4,6,9,9,132,0.3615358116825398,3.372960547868947,2.1882979243250777
111,31,31,3.897514059625756,123.6774193548387,91.48387096774194,13.612903225806452,4,10,9,10,170,0.28072192436526616,2.2043141788294123,2.3699154014913533
118,195,195,7.194688513426352,79.58974358974359,67.03076923076924,21.574358974358976,9,26,25,26,922,0.17637740325454282,3.7784003886429094,7.830738526235392
119,104,104,5.834606511185437,93.83653846153847,71.91346153846155,21.625,9,15,16,16,442,0.24196399588830528,1.6194881724392354,3.2790334582667406
120,205,205,7.315630236588791,108.93170731707318,106.65365853658537,21.536585365853657,9,26,25,26,940,0.17886505960257745,3.625165744440126,7.564985789666384
121,105,105,5.853247553205011,123.39047619047619,120.99047619047619,21.485714285714284,9,15,16,16,454,0.23707611639935736,1.6635774000425345,3.435979788004243
122,103,103,5.815845589022965,113.8252427184466,131.0,21.631067961165048,9,15,16,16,450,0.23613648476593177,1.6420692169712217,3.348982871635775
123,104,104,5.834606511185437,133.125,130.6153846153846,21.471153846153847,9,16,16,16,426,0.2510518454991336,1.7339999312890069,3.5263443101707064
124,199,199,7.2435503741408285,118.48241206030151,145.58291457286433,21.376884422110553,9,26,26,26,922,0.17878123007332408,3.753986932300604,7.704546359946616
125,426,426,9.33548729557024,133.5868544600939,155.01643192488262,21.453051643192488,9,46,36,46,1788,0.15312861086754456,6.033231147917728,12.836101784359851
126,93,93,5.62118797776233,83.90322580645162,81.93548387096774,21.698924731182796,8,16,16,16,438,0.22663760895021093,1.75807533125122,3.6184796650424778
127,170,170,6.873059437985092,69.95882352941177,86.91176470588235,21.729411764705883,8,25,25,25,814,0.18231637080656518,3.666638943259203,7.376150315054598
128,86,86,5.476460290566693,55.174418604651166,91.84883720930233,21.558139534883722,8,15,15,15,468,0.2013278731269703,1.6632233766184716,3.28172264403579
129,94,94,5.641263819521383,66.32978723404256,101.8936170212766,21.861702127659573,9,15,16,16,420,0.23804189731567515,1.7639352515350386,3.2912083035294573
130,96,96,5.680992338459954,104.27083333333333,140.70833333333334,21.635416666666668,8,15,15,15,456,0.22234810742224448,1.6213397845251032,3.254971250850644
152,26,26,3.6755717806481094,53.73076923076923,37.96153846153846,32.0,9,8,2,9,118,0.35968115362774156,6.767478827060244,3.0563750456766057
168,26,26,3.6755717806481094,44.23076923076923,27.76923076923077,41.07692307692308,8,8,4,8,118,0.35968115362774156,6.4378102809643165,2.9670377165658186
201,30,30,3.855146420814098,42.7,19.7,81.3,8,11,7,11,180,0.25939351994543125,6.008225720868135,3.317727224497624
203,74,74,5.208880160161783,73.67567567567568,82.20270270270271,90.22972972972973,9,17,17,17,442,0.19284853096843524,1.9784742883440523,4.0046773718519475
204,22,22,3.476492948582991,53.77272727272727,37.5,90.54545454545455,8,8,3,8,132,0.28764620403087454,5.213219890029001,2.885352088144967
205,27,27,3.7221029453964,62.592592592592595,79.07407407407408,90.07407407407408,8,10,6,10,162,0.26866532566941154,6.1932060221269785,3.4802723553766035
210,23,23,3.5283885540070252,64.34782608695653,86.82608695652173,99.8695652173913,8,8,4,8,120,0.3259278229700634,7.774094356193417,3.036765107576085
225,23,23,3.5283885540070252,54.0,38.173913043478265,109.82608695652173,8,8,3,8,130,0.3008564519723662,8.667948623136475,2.984810028978546
226,24,24,3.578800915758598,64.375,75.33333333333333,110.70833333333333,8,10,5,10,144,0.2794231988699572,7.9092411856811315,3.556711390724016
241,21,21,3.422999934344502,45.0,86.61904761904762,120.33333333333333,7,8,3,8,126,0.29214140203934824,6.857488214948454,2.812949937582877
244,31,31,3.897514059625756,105.80645161290323,144.29032258064515,120.12903225806451,7,9,10,10,186,0.2565738018392218,6.752171278655693,3.587751115704451
275,51,51,4.601052455660458,116.09803921568627,104.62745098039215,149.58823529411765,9,9,9,9,240,0.2771105116246669,6.498915295913606,3.3093657005467927
276,28,28,3.767498918725543,66.21428571428572,105.28571428571429,149.07142857142858,8,9,8,9,168,0.2654280788322764,6.346786716703005,3.1354401903121736
277,62,62,4.910560005983712,69.46774193548387,115.48387096774194,149.5,8,9,12,12,372,0.20364276147353053,1.8123696352887941,3.7974270412764524
279,45,45,4.413041015034398,67.53333333333333,124.26666666666667,149.46666666666667,8,9,10,10,250,0.24472920063979536,6.243084450134873,3.33151137141498
280,43,43,4.34666941315382,31.906976744186046,133.83720930232556,149.48837209302326,8,9,9,9,198,0.29977672078927686,7.058185211230112,3.2787949716549267
281,46,46,4.445491011401585,75.30434782608695,146.2826086956522,154.34782608695653,18,8,2,18,236,0.26307364527883914,11.35069789536983,5.259323616049397
284,46,46,4.445491011401585,96.06521739130434,35.608695652173914,169.41304347826087,8,9,9,9,236,0.26307364527883914,6.0247274761195975,3.2212666382303943
291,58,58,4.802600448448948,53.87931034482759,43.46551724137931,178.77586206896552,9,17,16,17,342,0.21187351947583924,1.6039258550851294,3.3524478463775775
292,66,66,5.013970461270554,84.60606060606061,51.07575757575758,178.63636363636363,8,18,16,18,388,0.2035549600031754,2.9972615423670934,5.414001478227673
293,130,130,6.285139335191904,100.4076923076923,66.66923076923078,178.8153846153846,9,29,16,29,710,0.1747919164089989,3.9273468934294216,7.8654870787452955
294,52,52,4.630930256838134,83.8076923076923,72.01923076923077,178.32692307692307,8,15,15,15,302,0.2230896440852115,1.918777546320021,3.4332648533495984
295,52,52,4.630930256838134,93.4423076923077,81.59615384615384,178.40384615384616,8,16,11,16,284,0.23722912856948547,1.935986924721002,3.484525672198859
296,75,75,5.232238679605294,34.32,82.49333333333334,178.21333333333334,8,15,16,16,374,0.2299605636951751,1.9632873335948582,3.393977675261378
297,61,61,4.884015919923077,104.81967213114754,92.24590163934427,178.2622950819672,8,17,14,17,366,0.20474953734707516,2.1326256852032657,3.9172705138007213
298,52,52,4.630930256838134,34.34615384615385,102.07692307692308,177.90384615384616,7,14,14,14,310,0.21733249197978668,1.7153864014195728,3.0465844770775017
299,47,47,4.477474060769193,72.80851063829788,101.57446808510639,178.25531914893617,8,16,12,16,274,0.22986109273297786,2.438555921147005,3.2317832910452005
300,20,20,3.3677806019212593,95.1,105.35,177.85,7,7,8,8,120,0.29693145670757687,5.9139748298775405,2.514932321063168
301,51,51,4.601052455660458,45.11764705882353,112.37254901960785,178.0392156862745,8,16,14,16,306,0.21734157774483678,1.998897748540419,3.5941843719405675
302,56,56,4.746751193158485,104.53571428571429,112.23214285714286,178.44642857142858,8,17,16,17,336,0.21067040578012688,1.7991709929886737,3.600022784540356
303,49,49,4.540104187127455,65.26530612244898,112.40816326530613,178.0,8,15,13,15,282,0.22963199709057544,1.83156706545144,3.049661128767568
304,136,136,6.380383188021705,89.11764705882354,117.25,178.5,8,27,26,27,804,0.15906965823615596,4.200100199003359,8.010976526796755
305,54,54,4.689555850780632,55.351851851851855,122.42592592592592,177.92592592592592,7,15,14,15,324,0.21323981029750136,2.0887575144816757,3.5814881168127966
306,159,159,6.721499448528673,81.79245283018868,128.50314465408803,178.63522012578616,8,28,28,28,848,0.1673733678943112,5.356203630869914,9.325069491352355
307,93,93,5.62118797776233,24.559139784946236,132.16129032258064,178.34408602150538,8,17,16,17,358,0.27728288469327483,1.8297913364269016,3.5712900863280805
308,71,71,5.137516647158831,44.91549295774648,132.46478873239437,178.18309859154928,7,16,15,16,380,0.21820905090378942,1.9435095058894525,3.305160664079082
309,75,75,5.232238679605294,65.32,132.50666666666666,178.28,8,16,16,16,394,0.2182874386345063,1.718838239857209,3.259331987435321
310,235,235,7.656372945784155,43.56170212765957,150.51063829787233,178.21702127659574,8,35,36,36,1098,0.16772341349588726,6.285746370801167,11.240951249493781
311,75,75,5.232238679605294,54.84,142.28,178.12,7,16,16,16,424,0.2028425726933856,1.8960841093977592,3.4546749256063616
312,72,72,5.161524082968597,64.94444444444444,150.91666666666666,178.31944444444446,8,15,16,16,374,0.22378665590559643,1.8367674754459657,3.1653064179549135
313,43,43,4.34666941315382,104.81395348837209,153.37209302325581,178.46511627906978,8,9,16,16,258,0.23006120432665433,2.3595574550303198,3.878067508873192
314,60,60,4.857180126010561,75.4,161.43333333333334,178.1,7,16,14,16,360,0.20588077321755582,2.1180681827005428,3.6049538785373523
315,68,68,5.064113492312934,65.08823529411765,171.39705882352942,178.4558823529412,8,16,17,17,408,0.19746792829938517,1.956431724361397,3.5677549588986253
316,39,39,4.207479366835002,62.23076923076923,33.61538461538461,178.66666666666666,8,17,9,17,230,0.24180541736396904,2.734611517301737,3.700526721664237
320,35,35,4.058415182579961,72.4857142857143,45.285714285714285,178.8,7,8,13,13,206,0.2511860984809604,4.371172408861828,3.2022406309856923
321,23,23,3.5283885540070252,95.73913043478261,45.391304347826086,179.0,7,8,8,8,138,0.2834154982348377,5.0368016380967635,2.6750899140903273
322,59,59,4.830044475313164,63.88135593220339,52.728813559322035,178.77966101694915,8,16,16,16,342,0.21430190230932267,1.633915570821714,3.256796059064191
323,192,192,7.157601831517195,50.364583333333336,72.25520833333334,178.78125,8,36,26,36,1016,0.1584131521152513,4.252163591932192,7.86710535119215
325,52,52,4.630930256838134,63.84615384615385,72.0,178.65384615384616,7,15,15,15,304,0.2216219490583351,1.9787705226892787,3.3606404891364314
326,64,64,4.9628039271952,73.515625,81.75,178.59375,8,16,14,16,364,0.2125703675626113,1.927278446268206,3.1256248063190353
328,61,61,4.884015919923077,45.83606557377049,91.88524590163935,178.37704918032787,7,14,14,14,326,0.2298721799663482,1.9622381664490607,2.851002311450809
329,20,20,3.3677806019212593,84.2,95.1,177.8,6,8,7,8,120,0.29693145670757687,4.793204698108403,2.797463758005621
330,52,52,4.630930256838134,55.71153846153846,102.0576923076923,178.05769230769232,7,15,14,15,298,0.2260841359521271,2.077939930150878,3.004980219356664
334,35,35,4.058415182579961,73.05714285714285,178.77142857142857,178.65714285714284,7,9,10,10,194,0.2667233829230817,7.478815345441068,3.644585137137207
