strut_id,junction0_id,junction1_id,napari_layer,napari_color_hex,napari_color_rgba_json,coordinate_order,start_z_vox,start_y_vox,start_x_vox,end_z_vox,end_y_vox,end_x_vox,direction_z_vox,direction_y_vox,direction_x_vox,center_z_vox,center_y_vox,center_x_vox,length_vox,length_um_from_centerline,start_z_um,start_y_um,start_x_um,end_z_um,end_y_um,end_x_um,direction_z_um,direction_y_um,direction_x_um,center_z_um,center_y_um,center_x_um,bbox_margin_vox,bbox_z_min_inclusive,bbox_y_min_inclusive,bbox_x_min_inclusive,bbox_z_max_exclusive,bbox_y_max_exclusive,bbox_x_max_exclusive,napari_vector_zyx_json,napari_line_zyx_json,inventory_junction0_id,inventory_junction1_id,inventory_junction0_degree,inventory_junction1_degree,inventory_unit_cell_ids,inventory_unit_cell_indices,inventory_classification,inventory_expected_by_0point5_cad,inventory_ct_material_occupancy,inventory_mean_intensity,inventory_length_um,inventory_trimmed_length_um,inventory_longest_gap_um,inventory_estimated_missing_volume_mm3,inventory_nominal_sampled_volume_mm3,inventory_centroid_x_um,inventory_centroid_y_um,inventory_centroid_z_um,inventory_aspect_ratio,inventory_sphericity,inventory_voxel_size_um
10,5,12,defects,#377eb8,"[0.216, 0.494, 0.722, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,105.439018,53.556645,61.388206,65.983101,53.258643,100.747237,-39.455917,-0.298003,39.35903,85.71106,53.407644,81.067721,55.731423,3237.43835,6124.95257,3111.105518,3566.040899,3832.958331,3093.79455,5852.406969,-2291.994239,-17.310969,2286.36607,4978.95545,3102.450034,4709.223934,10.0,55,43,51,117,65,112,"[[105.439018, 53.556645, 61.388206], [-39.455917, -0.298003, 39.35903]]","[[105.439018, 53.556645, 61.388206], [65.983101, 53.258643, 100.747237]]",5,12,2,8,0,"0,0,0",Missing_Intentional,True,0.000774293439462781,32688.0703125,3237.4385502243044,1942.4632568359375,2035.441543956757,0.7407497763633728,0.7413237690925598,4709.223768005371,3102.4501665496828,4978.955450439454,2.919954013824463,0.7583384787993913,58.09
11,6,12,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,105.504463,53.015602,139.798514,65.983101,53.258643,100.747237,-39.521362,0.243041,-39.051278,85.743782,53.137122,120.272875,55.560772,3227.525266,6128.754267,3079.6763,8120.895681,3832.958331,3093.79455,5852.406969,-2295.795936,14.11825,-2268.488712,4980.856299,3086.735425,6986.651325,10.0,55,43,90,117,65,151,"[[105.504463, 53.015602, 139.798514], [-39.521362, 0.243041, -39.051278]]","[[105.504463, 53.015602, 139.798514], [65.983101, 53.258643, 100.747237]]",6,12,1,8,0,"0,0,0",Nominal,False,0.42547425627708435,39702.2890625,3227.5250205230714,1936.51513671875,0.0,0.4246053993701935,0.7390537858009338,6986.651188201905,3086.7354813385014,4980.856298904419,0.0,1.0,58.09
12,10,8,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,65.841133,92.859255,61.803452,105.362503,92.616214,100.854722,39.52137,-0.243041,39.05127,85.601818,92.737734,81.329087,55.560772,3227.525271,3824.711423,5394.194109,3590.162553,6120.507802,5380.075859,5858.650824,2295.796379,-14.11825,2268.488271,4972.609613,5387.134984,4724.406689,10.0,55,82,51,117,104,112,"[[65.841133, 92.859255, 61.803452], [39.52137, -0.243041, 39.05127]]","[[65.841133, 92.859255, 61.803452], [105.362503, 92.616214, 100.854722]]",10,8,8,4,0,"0,0,0",Nominal,False,0.4142470061779022,39764.4140625,3227.5252421188356,1936.51513671875,0.0,0.4329029321670532,0.7390537858009338,4724.406623382569,5387.1348480224615,4972.609834136963,0.0,1.0,58.09
13,10,9,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,65.841133,92.859255,61.803452,26.38521,92.561256,101.162487,-39.455923,-0.297999,39.359034,46.113172,92.710255,81.48297,55.73143,3237.43874,3824.711423,5394.194109,3590.162553,1532.716851,5376.883361,5876.528845,-2291.994572,-17.310748,2286.366291,2678.714137,5385.538735,4733.345699,10.0,16,82,51,77,104,113,"[[65.841133, 92.859255, 61.803452], [-39.455923, -0.297999, 39.359034]]","[[65.841133, 92.859255, 61.803452], [26.38521, 92.561256, 101.162487]]",10,9,8,8,0,"0,0,0",Nominal,False,0.4963220953941345,40460.4921875,3237.4387718200687,1942.4632568359375,0.0,0.373388409614563,0.7413237690925598,4733.345796508789,5385.538472137451,2678.7140815353396,0.0,1.0,58.09
14,10,13,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,65.841133,92.859255,61.803452,65.76461,131.91882,101.269972,-0.076523,39.059565,39.46652,65.802872,112.389037,81.536712,55.527125,3225.570717,3824.711423,5394.194109,3590.162553,3820.266212,7663.16423,5882.7727,-4.445211,2268.970121,2292.610146,3822.488817,6528.67917,4736.467627,10.0,55,82,51,77,143,113,"[[65.841133, 92.859255, 61.803452], [-0.076523, 39.059565, 39.46652]]","[[65.841133, 92.859255, 61.803452], [65.76461, 131.91882, 101.269972]]",10,13,8,4,0,"0,0,0",Nominal,False,0.2380952388048172,37472.46875,3225.570989074707,1935.3427734375,0.0,0.5627477169036865,0.738606333732605,4736.467637634278,6528.67922241211,3822.48881729126,0.0,1.0,58.09
15,10,12,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,65.841133,92.859255,61.803452,65.983101,53.258643,100.747237,0.141968,-39.600612,38.943784,65.912117,73.058949,81.275344,55.541399,3226.399842,3824.711423,5394.194109,3590.162553,3832.958331,3093.79455,5852.406969,8.246908,-2300.39956,2262.244415,3828.834877,4243.994329,4721.284761,10.0,55,43,51,77,104,112,"[[65.841133, 92.859255, 61.803452], [0.141968, -39.600612, 38.943784]]","[[65.841133, 92.859255, 61.803452], [65.983101, 53.258643, 100.747237]]",10,12,8,8,0,"0,0,0",Nominal,False,0.3263646960258484,38766.8671875,3226.399757232666,1935.8399658203125,0.0,0.4976791441440582,0.7387961149215698,4721.28478225708,4243.994097747803,3828.8348767852785,0.0,1.0,58.09
16,11,9,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,65.906578,92.318215,140.213757,26.38521,92.561256,101.162487,-39.521368,0.243041,-39.05127,46.145894,92.439736,120.688122,55.560771,3227.525193,3828.51312,5362.765112,8145.017116,1532.716851,5376.883361,5876.528845,-2295.796269,14.11825,-2268.488271,2680.614985,5369.824237,7010.77298,10.0,16,82,91,77,104,152,"[[65.906578, 92.318215, 140.213757], [-39.521368, 0.243041, -39.05127]]","[[65.906578, 92.318215, 140.213757], [26.38521, 92.561256, 101.162487]]",11,9,4,8,0,"0,0,0",Nominal,False,0.60317462682724,42038.5546875,3227.5254637146,1936.515380859375,0.0,0.2932753264904022,0.7390538454055786,7010.773216705323,5369.824230117798,2680.6149300003053,0.0,1.0,58.09
17,11,13,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,65.906578,92.318215,140.213757,65.76461,131.91882,101.269972,-0.141968,39.600605,-38.943784,65.835594,112.118517,120.741864,55.541393,3226.399528,3828.51312,5362.765112,8145.017116,3820.266212,7663.16423,5882.7727,-8.246908,2300.399118,-2262.244416,3824.389666,6512.964671,7013.894908,10.0,55,82,91,77,143,152,"[[65.906578, 92.318215, 140.213757], [-0.141968, 39.600605, -38.943784]]","[[65.906578, 92.318215, 140.213757], [65.76461, 131.91882, 101.269972]]",11,13,4,4,0,"0,0,0",Nominal,False,0.3763066232204437,39305.93359375,3226.399757232666,1935.8399658203125,0.0,0.4607822299003601,0.7387961149215698,7013.895057830811,6512.964537200928,3824.389665756226,0.0,1.0,58.09
18,11,8,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,65.906578,92.318215,140.213757,105.362503,92.616214,100.854722,39.455925,0.297999,-39.359034,85.634541,92.467214,120.534239,55.731431,3237.438819,3828.51312,5362.765112,8145.017116,6120.507802,5380.075859,5858.650824,2291.994683,17.310748,-2286.366292,4974.510461,5371.420486,7001.83397,10.0,55,82,90,117,104,152,"[[65.906578, 92.318215, 140.213757], [39.455925, 0.297999, -39.359034]]","[[65.906578, 92.318215, 140.213757], [105.362503, 92.616214, 100.854722]]",11,8,4,4,0,"0,0,0",Nominal,False,0.49245062470436096,40825.5390625,3237.4389934158326,1942.4635009765625,0.0,0.3762584924697876,0.7413238883018494,7001.834043579102,5371.42016281128,4974.510239410401,0.0,1.0,58.09
19,12,9,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,65.983101,53.258643,100.747237,26.38521,92.561256,101.162487,-39.597891,39.302613,0.41525,46.184155,72.909949,100.954862,55.793018,3241.016392,3832.958331,3093.79455,5852.406969,1532.716851,5376.883361,5876.528845,-2300.24148,2283.088812,24.121876,2682.837591,4235.338955,5864.467907,10.0,16,43,90,77,104,113,"[[65.983101, 53.258643, 100.747237], [-39.597891, 39.302613, 0.41525]]","[[65.983101, 53.258643, 100.747237], [26.38521, 92.561256, 101.162487]]",12,9,8,8,0,"0,0,0",Nominal,False,0.36198219656944275,38930.01953125,3241.0164354324343,1944.60986328125,0.0,0.47350046038627625,0.7421430349349976,5864.468078918458,4235.339010391235,2682.837535514832,0.0,1.0,58.09
20,12,11,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,65.983101,53.258643,100.747237,65.906578,92.318215,140.213757,-0.076523,39.059572,39.46652,65.944839,72.788429,120.480497,55.527131,3225.571028,3832.958331,3093.79455,5852.406969,3828.51312,5362.765112,8145.017116,-4.445211,2268.970562,2292.610147,3830.735725,4228.279831,6998.712042,10.0,55,43,90,77,104,152,"[[65.983101, 53.258643, 100.747237], [-0.076523, 39.059572, 39.46652]]","[[65.983101, 53.258643, 100.747237], [65.906578, 92.318215, 140.213757]]",12,11,8,4,0,"0,0,0",Nominal,False,0.22802942991256714,37032.578125,3225.570989074707,1935.3427734375,0.0,0.5701823234558105,0.738606333732605,6998.712202453614,4228.279855728149,3830.7357252502443,0.0,1.0,58.09
21,12,8,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,65.983101,53.258643,100.747237,105.362503,92.616214,100.854722,39.379402,39.357571,0.107486,85.672802,72.937428,100.800979,55.675554,3234.192913,3832.958331,3093.79455,5852.406969,6120.507802,5380.075859,5858.650824,2287.549472,2286.28131,6.243856,4976.733067,4236.935204,5855.528896,10.0,55,43,90,117,104,112,"[[65.983101, 53.258643, 100.747237], [39.379402, 39.357571, 0.107486]]","[[65.983101, 53.258643, 100.747237], [105.362503, 92.616214, 100.854722]]",12,8,8,4,0,"0,0,0",Nominal,False,0.2593882977962494,38247.82421875,3234.1928370666506,1940.515869140625,0.0,0.5484826564788818,0.7405806183815002,5855.528905792236,4236.934943084717,4976.733288116456,0.0,1.0,58.09
22,13,8,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,65.76461,131.91882,101.269972,105.362503,92.616214,100.854722,39.597893,-39.302606,-0.41525,85.563557,112.267517,101.062347,55.793014,3241.01616,3820.266212,7663.16423,5882.7727,6120.507802,5380.075859,5858.650824,2300.24159,-2283.088371,-24.121876,4970.387007,6521.620045,5870.711762,10.0,55,82,90,117,143,113,"[[65.76461, 131.91882, 101.269972], [39.597893, -39.302606, -0.41525]]","[[65.76461, 131.91882, 101.269972], [105.362503, 92.616214, 100.854722]]",13,8,4,4,0,"0,0,0",Nominal,False,0.3526906669139862,39126.8203125,3241.0164354324343,1944.60986328125,0.0,0.4803960919380188,0.7421430349349976,5870.711761169434,6521.620067749024,4970.386785430908,0.0,1.0,58.09
23,13,9,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,65.76461,131.91882,101.269972,26.38521,92.561256,101.162487,-39.3794,-39.357564,-0.107486,46.07491,112.240038,101.21623,55.675547,3234.192523,3820.266212,7663.16423,5882.7727,1532.716851,5376.883361,5876.528845,-2287.549361,-2286.280869,-6.243855,2676.491531,6520.023796,5879.650772,10.0,16,82,91,77,143,113,"[[65.76461, 131.91882, 101.269972], [-39.3794, -39.357564, -0.107486]]","[[65.76461, 131.91882, 101.269972], [26.38521, 92.561256, 101.162487]]",13,9,4,8,0,"0,0,0",Nominal,False,0.375532329082489,39232.90625,3234.1928370666506,1940.515869140625,0.0,0.4624686539173126,0.7405806183815002,5879.650934295654,6520.023691864014,2676.491476020813,0.0,1.0,58.09
24,14,23,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.527176,52.960644,140.106271,26.450655,92.020216,179.572783,-0.076521,39.059572,39.466512,26.488915,72.49043,159.839527,55.527125,3225.570716,1540.963648,3076.483802,8138.77326,1536.518548,5345.454365,10431.382967,-4.4451,2268.970563,2292.609707,1538.741098,4210.969084,9285.078114,10.0,16,42,130,38,104,191,"[[26.527176, 52.960644, 140.106271], [-0.076521, 39.059572, 39.466512]]","[[26.527176, 52.960644, 140.106271], [26.450655, 92.020216, 179.572783]]",14,23,3,8,1,"1,0,0",Nominal,False,0.9938056468963623,48856.73828125,3225.570545883179,1935.342529296875,0.0,0.004575187806040049,0.7386062145233154,9285.078795776368,4210.969237823487,1538.7410427093507,0.0,0.14966657839450156,58.09
25,15,23,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.592621,52.4196,218.516567,26.450655,92.020216,179.572783,-0.141966,39.600616,-38.943784,26.521638,72.219908,199.044675,55.541401,3226.399999,1544.765345,3045.054585,12693.627382,1536.518548,5345.454365,10431.382967,-8.246797,2300.39978,-2262.244415,1540.641947,4195.254475,11562.505175,10.0,16,42,169,38,104,230,"[[26.592621, 52.4196, 218.516567], [-0.141966, 39.600616, -38.943784]]","[[26.592621, 52.4196, 218.516567], [26.450655, 92.020216, 179.572783]]",15,23,2,8,1,"1,0,0",Nominal,False,1.0,50846.7890625,3226.4002004241947,1935.8402099609375,0.0,0.0,0.7387961745262146,11562.505329589845,4195.254552612305,1540.6418911743165,0.0,5.430654988463878e-06,58.09
26,16,23,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.374132,131.079781,219.039311,26.450655,92.020216,179.572783,0.076523,-39.059565,-39.466528,26.412394,111.549999,199.306047,55.527131,3225.57103,1532.073337,7614.424485,12723.993554,1536.518548,5345.454365,10431.382967,4.445211,-2268.97012,-2292.610587,1534.295942,6479.939425,11577.68826,10.0,16,82,169,38,143,231,"[[26.374132, 131.079781, 219.039311], [0.076523, -39.059565, -39.466528]]","[[26.374132, 131.079781, 219.039311], [26.450655, 92.020216, 179.572783]]",16,23,1,8,1,"1,0,0",Nominal,False,1.0,49563.76953125,3225.570989074707,1935.3427734375,0.0,0.0,0.738606333732605,11577.68818496704,6479.939677276611,1534.29594247818,0.0,5.430654988463878e-06,58.09
27,17,23,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.308687,131.620828,140.628999,26.450655,92.020216,179.572783,0.141968,-39.600612,38.943784,26.379671,111.820522,160.100891,55.541399,3226.399842,1528.27164,7645.853925,8169.138552,1536.518548,5345.454365,10431.382967,8.246908,-2300.39956,2262.244415,1532.395094,6495.654145,9300.26076,10.0,16,82,130,38,143,191,"[[26.308687, 131.620828, 140.628999], [0.141968, -39.600612, 38.943784]]","[[26.308687, 131.620828, 140.628999], [26.450655, 92.020216, 179.572783]]",17,23,2,8,1,"1,0,0",Nominal,False,1.0,50350.84765625,3226.4002004241947,1935.8402099609375,0.0,0.0,0.7387961745262146,9300.260764770508,6495.654362487793,1532.3950940132142,0.0,5.430654988463878e-06,58.09
28,14,24,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.527176,52.960644,140.106271,65.906578,92.318215,140.213757,39.379402,39.357571,0.107486,46.216877,72.639429,140.160014,55.675554,3234.192913,1540.963648,3076.483802,8138.77326,3828.51312,5362.765112,8145.017116,2287.549472,2286.28131,6.243856,2684.738384,4219.624457,8141.895188,10.0,16,42,130,77,104,152,"[[26.527176, 52.960644, 140.106271], [39.379402, 39.357571, 0.107486]]","[[26.527176, 52.960644, 140.106271], [65.906578, 92.318215, 140.213757]]",14,24,3,8,1,"1,0,0",Nominal,False,0.41850560903549194,39718.0390625,3234.1928370666506,1940.515869140625,0.0,0.4306434690952301,0.7405806183815002,8141.89549911499,4219.624325180054,2684.7383839797976,0.0,1.0,58.09
29,17,24,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.308687,131.620828,140.628999,65.906578,92.318215,140.213757,39.597891,-39.302613,-0.415242,46.107633,111.969522,140.421378,55.793018,3241.016389,1528.27164,7645.853925,8169.138552,3828.51312,5362.765112,8145.017116,2300.24148,-2283.088813,-24.121436,2678.39238,6504.309518,8157.077834,10.0,16,82,130,77,143,152,"[[26.308687, 131.620828, 140.628999], [39.597891, -39.302613, -0.415242]]","[[26.308687, 131.620828, 140.628999], [65.906578, 92.318215, 140.213757]]",17,24,2,8,1,"1,0,0",Nominal,False,0.47386759519577026,40489.6640625,3241.0166570281986,1944.610107421875,0.0,0.39046552777290344,0.7421430945396423,8157.078354492188,6504.309893035889,2678.3923244857788,0.0,1.0,58.09
