component,voxels,volume_mm3,centroid_z_voxel,centroid_y_voxel,centroid_x_voxel,bbox_z,bbox_y,bbox_x
452,49,0.076840502530568,64.65306122448979,319.57142857142856,334.3469387755102,13,4,13
456,49,0.076840502530568,65.22448979591837,339.2448979591837,354.51020408163265,14,5,13
822,49,0.076840502530568,123.73469387755102,220.9795918367347,333.2857142857143,14,6,14
578,49,0.076840502530568,85.73469387755102,142.81632653061226,333.9387755102041,14,5,14
458,49,0.076840502530568,64.77551020408163,358.59183673469386,373.7551020408163,14,4,14
283,49,0.076840502530568,45.857142857142854,103.34693877551021,333.0204081632653,14,4,14
35,49,0.076840502530568,25.612244897959183,358.42857142857144,374.2244897959184,14,5,14
464,48,0.07527232900953601,66.10416666666667,44.25,372.2708333333333,14,5,14
696,48,0.07527232900953601,104.0625,240.66666666666666,333.6875,14,5,14
699,48,0.07527232900953601,104.1875,358.7291666666667,373.7708333333333,14,5,14
421,47,0.07370415548850401,66.59574468085107,63.46808510638298,353.1914893617021,15,5,14
1055,47,0.07370415548850401,166.5744680851064,242.40425531914894,354.25531914893617,16,16,14
697,47,0.07370415548850401,104.38297872340425,240.31914893617022,373.06382978723406,15,4,14
590,47,0.07370415548850401,84.65957446808511,240.53191489361703,353.3404255319149,14,5,14
1333,47,0.07370415548850401,227.2340425531915,164.63829787234042,373.70212765957444,15,17,13
276,47,0.07370415548850401,45.4468085106383,63.234042553191486,371.59574468085106,14,4,15
255,46,0.07213598196747201,44.91304347826087,241.91304347826087,274.2608695652174,14,5,14
587,46,0.07213598196747201,85.15217391304348,220.34782608695653,373.7826086956522,14,4,13
708,46,0.07213598196747201,105.04347826086956,161.6086956521739,333.69565217391306,14,4,14
436,46,0.07213598196747201,65.06521739130434,201.43478260869566,333.2826086956522,14,4,15
465,46,0.07213598196747201,66.08695652173913,83.04347826086956,372.5217391304348,13,5,13
467,46,0.07213598196747201,65.80434782608695,102.69565217391305,353.32608695652175,14,4,14
428,46,0.07213598196747201,65.8695652173913,141.8913043478261,353.3695652173913,14,5,14
1256,46,0.07213598196747201,205.93478260869566,301.45652173913044,374.5,15,16,13
705,45,0.07056780844644,104.55555555555556,122.44444444444444,333.0444444444444,13,4,13
249,45,0.07056780844644,45.8,161.35555555555555,353.46666666666664,15,4,14
434,45,0.07056780844644,65.37777777777778,181.26666666666668,353.3333333333333,14,4,13
266,45,0.07056780844644,44.8,319.31111111111113,353.5111111111111,14,4,14
279,44,0.068999634925408,46.47727272727273,83.3409090909091,313.77272727272725,14,5,14
11,44,0.068999634925408,24.227272727272727,24.454545454545453,310.3636363636364,12,5,13
698,44,0.068999634925408,104.20454545454545,299.54545454545456,353.90909090909093,14,4,14
582,44,0.068999634925408,85.0909090909091,180.95454545454547,372.5681818181818,14,5,14
444,44,0.068999634925408,64.63636363636364,260.3863636363636,314.29545454545456,13,5,12
15,43,0.06743146140437602,24.441860465116278,32.97674418604651,342.13953488372096,12,12,4
253,43,0.06743146140437602,44.74418604651163,220.25581395348837,372.4186046511628,14,5,14
544,43,0.06743146140437602,81.83720930232558,153.67441860465115,381.72093023255815,14,14,4
7,43,0.06743146140437602,22.627906976744185,319.5581395348837,252.7906976744186,13,7,15
273,43,0.06743146140437602,46.16279069767442,24.069767441860463,372.2093023255814,14,4,14
600,43,0.06743146140437602,84.88372093023256,299.4651162790698,334.6046511627907,13,4,13
288,43,0.06743146140437602,45.651162790697676,122.23255813953489,352.7906976744186,14,4,14
605,43,0.06743146140437602,84.74418604651163,338.6511627906977,374.16279069767444,14,4,14
937,43,0.06743146140437602,143.74418604651163,220.3953488372093,353.48837209302326,14,4,14
252,42,0.06586328788334402,45.214285714285715,220.57142857142858,333.8809523809524,14,5,14
714,42,0.06586328788334402,105.19047619047619,220.4047619047619,353.9761904761905,14,4,13
836,42,0.06586328788334402,125.0,181.26190476190476,373.8095238095238,13,4,13
818,42,0.06586328788334402,124.5,161.35714285714286,353.3095238095238,14,5,14
594,42,0.06586328788334402,85.02380952380952,259.35714285714283,373.7142857142857,13,4,13
427,42,0.06586328788334402,65.64285714285714,143.61904761904762,313.8809523809524,14,4,14
433,41,0.06429511436231201,65.14634146341463,182.3170731707317,313.4634146341463,14,5,14
706,41,0.06429511436231201,105.1219512195122,121.97560975609755,372.5365853658537,14,5,14
1614,41,0.06429511436231201,300.3170731707317,329.8292682926829,363.2439024390244,12,13,2
584,41,0.06429511436231201,85.04878048780488,201.2439024390244,353.2926829268293,14,4,14
426,41,0.06429511436231201,65.92682926829268,121.97560975609755,373.0731707317073,15,5,14
589,41,0.06429511436231201,84.65853658536585,241.0731707317073,314.0487804878049,13,6,13
692,41,0.06429511436231201,103.58536585365853,151.1219512195122,382.2682926829268,12,12,3
1142,41,0.06429511436231201,183.3658536585366,122.39024390243902,333.1463414634146,13,4,13
816,41,0.06429511436231201,123.21951219512195,131.58536585365854,382.219512195122,12,13,3
922,41,0.06429511436231201,143.1951219512195,92.85365853658537,362.1951219512195,12,13,2
1381,41,0.06429511436231201,241.390243902439,151.97560975609755,362.219512195122,13,13,2
265,41,0.06429511436231201,45.21951219512195,299.0243902439024,373.9268292682927,14,5,14
942,41,0.06429511436231201,144.5609756097561,319.4146341463415,374.3170731707317,14,4,14
674,41,0.06429511436231201,102.41463414634147,133.09756097560975,381.6829268292683,13,13,2
275,41,0.06429511436231201,46.609756097560975,44.5609756097561,352.8048780487805,14,4,14
151,41,0.06429511436231201,35.75609756097561,309.3658536585366,316.1463414634146,2,12,12
571,40,0.06272694084128001,84.475,319.25,354.325,14,4,14
267,40,0.06272694084128001,45.4,319.425,315.15,14,5,15
960,40,0.06272694084128001,144.425,240.025,374.0,13,4,12
1214,40,0.06272694084128001,202.25,112.725,362.15,13,13,2
160,40,0.06272694084128001,35.75,368.275,336.275,2,12,12
154,40,0.06272694084128001,35.7,329.125,335.425,2,12,12
443,40,0.06272694084128001,65.025,240.4,333.8,14,4,14
572,40,0.06272694084128001,85.5,83.2,352.75,15,4,14
825,40,0.06272694084128001,123.85,279.85,353.375,14,5,14
1027,40,0.06272694084128001,163.675,23.375,371.4,15,4,15
593,40,0.06272694084128001,84.575,259.925,334.1,12,4,12
437,40,0.06272694084128001,64.25,200.375,372.0,13,5,13
1307,40,0.06272694084128001,221.725,132.275,362.25,12,12,2
299,40,0.06272694084128001,45.175,201.7,313.4,13,5,13
158,39,0.061158767320248004,35.666666666666664,368.12820512820514,375.28205128205127,2,13,11
943,39,0.061158767320248004,143.71794871794873,339.12820512820514,354.4871794871795,13,4,13
194,39,0.061158767320248004,36.84615384615385,313.64102564102564,378.94871794871796,6,12,13
577,39,0.061158767320248004,85.46153846153847,122.23076923076923,352.7435897435897,14,4,14
736,39,0.061158767320248004,104.56410256410257,339.20512820512823,354.38461538461536,13,4,13
311,39,0.061158767320248004,44.43589743589744,268.8205128205128,363.84615384615387,11,12,3
565,39,0.061158767320248004,83.7948717948718,131.23076923076923,382.15384615384613,12,12,3
269,39,0.061158767320248004,44.666666666666664,339.05128205128204,334.53846153846155,13,4,13
237,39,0.061158767320248004,44.333333333333336,75.15384615384616,342.2307692307692,11,13,2
263,39,0.061158767320248004,44.717948717948715,300.2564102564103,294.1025641025641,14,6,14
1072,39,0.061158767320248004,164.43589743589743,141.35897435897436,373.2307692307692,13,4,13
1219,39,0.061158767320248004,201.48717948717947,309.12820512820514,363.3333333333333,12,12,2
256,39,0.061158767320248004,45.64102564102564,241.05128205128204,313.97435897435895,14,5,14
832,39,0.061158767320248004,125.12820512820512,122.15384615384616,353.35897435897436,14,4,13
1410,39,0.061158767320248004,246.12820512820514,104.53846153846153,373.71794871794873,15,13,12
1731,39,0.061158767320248004,337.3076923076923,371.0,382.7435897435897,12,12,2
248,39,0.061158767320248004,44.51282051282051,162.25641025641025,312.61538461538464,13,4,13
1058,38,0.05959059379921601,163.42105263157896,259.8421052631579,373.36842105263156,12,4,13
404,38,0.05959059379921601,64.13157894736842,72.52631578947368,342.2631578947368,12,13,2
156,38,0.05959059379921601,35.73684210526316,349.3421052631579,316.13157894736844,2,12,12
819,38,0.05959059379921601,123.73684210526316,171.42105263157896,382.3421052631579,12,12,2
804,38,0.05959059379921601,122.78947368421052,92.1842105263158,342.2631578947368,12,12,2
1398,38,0.05959059379921601,241.3684210526316,309.6842105263158,363.2894736842105,12,12,2
264,38,0.05959059379921601,44.86842105263158,299.2894736842105,333.7368421052632,14,4,14
846,38,0.05959059379921601,123.92105263157895,259.3421052631579,373.63157894736844,12,4,13
406,38,0.05959059379921601,63.86842105263158,92.28947368421052,362.1578947368421,12,11,3
599,38,0.05959059379921601,84.71052631578948,299.07894736842104,373.55263157894734,13,4,13
1052,38,0.05959059379921601,163.6315789473684,220.18421052631578,373.39473684210526,13,4,13
423,38,0.05959059379921601,65.5,83.05263157894737,332.7894736842105,14,3,14
1375,38,0.05959059379921601,237.97368421052633,194.28947368421052,380.60526315789474,13,14,8
1449,38,0.05959059379921601,258.7105263157895,370.7631578947368,382.7631578947368,12,12,2
1086,38,0.05959059379921601,164.23684210526315,339.05263157894734,374.89473684210526,12,4,12
1129,37,0.058022420278184,182.21621621621622,131.72972972972974,362.2162162162162,12,11,2
712,37,0.058022420278184,104.37837837837837,200.21621621621622,373.1621621621622,13,4,13
1207,37,0.058022420278184,200.83783783783784,152.35135135135135,381.94594594594594,13,13,2
493,37,0.058022420278184,66.1891891891892,44.86486486486486,333.4594594594595,12,4,12
1248,37,0.058022420278184,203.16216216216216,259.4054054054054,373.9189189189189,12,5,11
1478,37,0.058022420278184,261.7027027027027,278.8918918918919,373.9189189189189,11,3,12
155,37,0.058022420278184,35.7027027027027,348.8918918918919,355.27027027027026,2,13,12
450,37,0.058022420278184,64.75675675675676,299.5405405405405,314.4594594594595,14,4,14
246,37,0.058022420278184,45.62162162162162,143.8918918918919,293.8918918918919,14,3,14
149,37,0.058022420278184,35.86486486486486,289.9189189189189,296.5135135135135,2,12,11
1031,37,0.058022420278184,162.59459459459458,92.02702702702703,381.27027027027026,12,12,2
925,37,0.058022420278184,142.97297297297297,151.56756756756758,382.18918918918916,12,10,2
240,37,0.058022420278184,44.648648648648646,111.91891891891892,362.2972972972973,12,13,2
852,37,0.058022420278184,124.37837837837837,299.1081081081081,374.2162162162162,13,4,13
1538,37,0.058022420278184,281.4594594594595,219.8918918918919,373.64864864864865,12,3,12
245,36,0.05645424675715201,44.5,131.33333333333334,382.22222222222223,12,12,3
243,36,0.05645424675715201,44.861111111111114,123.58333333333333,273.3611111111111,14,5,14
10,36,0.05645424675715201,24.194444444444443,25.61111111111111,271.3888888888889,12,5,12
1131,36,0.05645424675715201,182.86111111111111,191.16666666666666,382.27777777777777,12,12,2
1049,36,0.05645424675715201,163.38888888888889,201.08333333333334,353.3333333333333,13,4,13
1134,36,0.05645424675715201,182.91666666666666,319.22222222222223,373.77777777777777,14,4,14
221,36,0.05645424675715201,44.19444444444444,53.083333333333336,342.0833333333333,12,12,2
150,36,0.05645424675715201,35.69444444444444,309.27777777777777,354.8333333333333,2,13,11
808,36,0.05645424675715201,122.94444444444444,151.25,362.27777777777777,13,12,2
1215,36,0.05645424675715201,201.94444444444446,151.83333333333334,362.0833333333333,12,13,2
615,36,0.05645424675715201,85.80555555555556,141.11111111111111,373.6666666666667,13,4,12
612,36,0.05645424675715201,86.25,62.94444444444444,372.8611111111111,13,4,12
159,36,0.05645424675715201,35.80555555555556,368.1666666666667,297.55555555555554,2,13,12
410,36,0.05645424675715201,64.11111111111111,131.41666666666666,362.27777777777777,12,12,2
1145,36,0.05645424675715201,183.55555555555554,200.11111111111111,373.5,13,4,12
823,36,0.05645424675715201,124.0,240.13888888888889,353.75,14,4,14
581,36,0.05645424675715201,84.41666666666667,181.13888888888889,333.22222222222223,13,5,13
576,36,0.05645424675715201,84.44444444444444,122.16666666666667,313.30555555555554,13,4,13
834,36,0.05645424675715201,125.22222222222223,142.05555555555554,373.19444444444446,14,4,13
1668,36,0.05645424675715201,319.8611111111111,171.88888888888889,381.9166666666667,12,12,2
1057,35,0.054886073236120006,163.62857142857143,259.9428571428571,334.25714285714287,12,4,12
1311,35,0.054886073236120006,221.65714285714284,230.2,382.34285714285716,12,12,2
1062,35,0.054886073236120006,163.74285714285713,319.0857142857143,354.65714285714284,12,4,11
1451,35,0.054886073236120006,260.0,113.91428571428571,362.0,12,13,1
1284,35,0.054886073236120006,211.8,268.6,373.9714285714286,4,14,13
1452,35,0.054886073236120006,260.8285714285714,171.77142857142857,362.0571428571429,12,12,2
1137,35,0.054886073236120006,183.34285714285716,359.0,373.7142857142857,14,4,14
1080,35,0.054886073236120006,164.31428571428572,279.54285714285714,354.8285714285714,13,5,12
1124,35,0.054886073236120006,182.02857142857144,151.97142857142856,382.0571428571429,13,13,2
1127,35,0.054886073236120006,182.42857142857142,92.77142857142857,362.0571428571429,11,12,2
1338,35,0.054886073236120006,222.8,239.8,373.48571428571427,11,3,12
847,35,0.054886073236120006,124.42857142857143,260.0571428571429,334.34285714285716,12,4,12
1025,35,0.054886073236120006,162.14285714285714,151.82857142857142,362.14285714285717,13,13,2
44,35,0.054886073236120006,24.857142857142858,189.45714285714286,383.0,12,12,4
442,35,0.054886073236120006,65.45714285714286,241.02857142857144,294.77142857142854,14,3,14
152,35,0.054886073236120006,35.94285714285714,310.1714285714286,276.77142857142854,2,12,12
567,35,0.054886073236120006,83.85714285714286,151.2,362.2857142857143,12,12,2
562,35,0.054886073236120006,83.6,111.94285714285714,362.2857142857143,12,11,2
157,35,0.054886073236120006,35.91428571428571,349.77142857142854,276.65714285714284,2,12,12
453,35,0.054886073236120006,64.71428571428571,318.8,373.6857142857143,14,5,14
80,34,0.05331789971508801,25.323529411764707,162.11764705882354,42.794117647058826,10,4,11
972,34,0.05331789971508801,144.44117647058823,319.0,335.38235294117646,12,3,11
691,34,0.05331789971508801,103.20588235294117,131.3235294117647,362.3235294117647,12,12,2
1738,34,0.05331789971508801,338.1764705882353,171.88235294117646,381.97058823529414,12,12,2
969,34,0.05331789971508801,144.58823529411765,280.0,334.8529411764706,11,5,11
1221,34,0.05331789971508801,201.47058823529412,368.8529411764706,383.2352941176471,11,13,2
451,34,0.05331789971508801,64.8529411764706,299.11764705882354,353.7647058823529,13,4,13
1075,34,0.05331789971508801,164.3235294117647,180.38235294117646,373.79411764705884,13,4,13
1446,34,0.05331789971508801,259.52941176470586,172.7941176470588,382.0,13,13,1
1543,34,0.05331789971508801,280.6764705882353,309.88235294117646,363.29411764705884,11,11,2
274,34,0.05331789971508801,46.14705882352941,44.94117647058823,313.44117647058823,13,3,13
946,34,0.05331789971508801,145.35294117647058,359.02941176470586,375.1764705882353,14,4,13
1158,34,0.05331789971508801,183.1764705882353,299.0882352941176,354.11764705882354,13,4,12
1660,34,0.05331789971508801,318.7647058823529,133.3235294117647,362.0,13,13,1
938,34,0.05331789971508801,142.73529411764707,230.14705882352942,343.38235294117646,11,11,2
250,34,0.05331789971508801,45.64705882352941,182.64705882352942,293.94117647058823,14,5,14
841,33,0.051749726194056,124.45454545454545,220.06060606060606,373.3939393939394,13,4,13
1394,33,0.051749726194056,241.33333333333334,250.3939393939394,343.3333333333333,12,12,2
1756,33,0.051749726194056,339.3333333333333,270.1212121212121,382.1212121212121,11,12,2
1834,33,0.051749726194056,359.969696969697,153.03030303030303,361.969696969697,12,12,2
409,33,0.051749726194056,63.93939393939394,114.0,361.969696969697,12,11,2
258,33,0.051749726194056,43.60606060606061,259.8181818181818,293.6666666666667,11,6,14
14,33,0.051749726194056,22.939393939393938,31.818181818181817,302.06060606060606,10,11,3
827,33,0.051749726194056,124.51515151515152,339.09090909090907,335.5151515151515,14,4,12
403,33,0.051749726194056,63.96969696969697,54.96969696969697,342.0,12,12,1
746,33,0.051749726194056,105.78787878787878,221.24242424242425,315.09090909090907,12,4,11
1817,33,0.051749726194056,358.030303030303,113.03030303030303,342.0,12,12,1
1061,33,0.051749726194056,163.72727272727272,299.1212121212121,373.6666666666667,13,4,13
1753,33,0.051749726194056,339.969696969697,192.03030303030303,382.0,12,12,1
474,33,0.051749726194056,65.24242424242425,162.03030303030303,333.2121212121212,13,4,13
1469,33,0.051749726194056,261.6060606060606,230.66666666666666,382.3333333333333,12,12,2
1229,33,0.051749726194056,201.75757575757575,250.0,343.3030303030303,11,11,2
560,33,0.051749726194056,83.66666666666667,92.27272727272727,342.1818181818182,11,10,2
148,33,0.051749726194056,35.666666666666664,290.06060606060606,334.7878787878788,2,12,10
1459,33,0.051749726194056,261.06060606060606,73.03030303030303,381.030303030303,11,12,2
1732,33,0.051749726194056,339.0,54.333333333333336,381.0,13,12,1
1689,33,0.051749726194056,320.6363636363636,250.6969696969697,382.3333333333333,12,13,2
1525,33,0.051749726194056,280.969696969697,113.03030303030303,362.0,12,12,1
1528,33,0.051749726194056,280.969696969697,172.03030303030303,382.0,12,12,1
923,33,0.051749726194056,142.63636363636363,131.5151515151515,362.1212121212121,12,11,2
222,33,0.051749726194056,44.06060606060606,72.06060606060606,362.1212121212121,12,12,2
968,33,0.051749726194056,144.6060606060606,278.6363636363636,374.6666666666667,13,6,12
1226,32,0.05018155267302401,202.5,171.5,382.34375,12,12,2
153,32,0.05018155267302401,35.9375,329.25,296.6875,2,12,11
1047,32,0.05018155267302401,162.90625,170.90625,382.3125,11,11,2
1234,32,0.05018155267302401,203.78125,121.9375,353.84375,13,3,13
300,32,0.05018155267302401,44.65625,199.96875,352.4375,12,6,12
1040,32,0.05018155267302401,162.5,368.5,383.34375,12,12,2
1246,32,0.05018155267302401,203.0,240.25,353.78125,13,5,12
1482,32,0.05018155267302401,262.5,319.09375,374.46875,12,4,11
673,32,0.05018155267302401,103.1875,73.0625,342.09375,13,12,2
429,32,0.05018155267302401,64.5,151.3125,382.3125,12,11,3
1253,32,0.05018155267302401,203.96875,279.8125,355.21875,13,5,12
124,32,0.05018155267302401,35.46875,328.40625,375.03125,3,12,10
1663,32,0.05018155267302401,318.15625,191.9375,382.0,12,12,1
1157,32,0.05018155267302401,182.1875,289.28125,363.375,10,10,2
1799,32,0.05018155267302401,349.15625,288.6875,373.6875,3,13,13
58,32,0.05018155267302401,24.625,307.5625,384.09375,11,12,3
1466,32,0.05018155267302401,261.5,191.5,382.21875,12,12,2
1686,32,0.05018155267302401,320.15625,192.1875,362.0,11,12,1
220,32,0.05018155267302401,43.46875,134.3125,361.90625,13,11,3
460,32,0.05018155267302401,65.3125,358.5,335.0,14,4,14
1406,32,0.05018155267302401,242.3125,259.125,374.125,12,3,12
1757,32,0.05018155267302401,339.5,329.78125,363.15625,11,12,2
463,32,0.05018155267302401,63.15625,371.15625,383.1875,10,12,2
1309,31,0.04861337915199201,221.38709677419354,171.38709677419354,362.03225806451616,11,11,2
422,31,0.04861337915199201,64.58064516129032,72.51612903225806,381.3225806451613,11,12,2
1324,31,0.04861337915199201,222.19354838709677,349.7741935483871,383.16129032258067,11,12,2
449,31,0.04861337915199201,64.45161290322581,289.0967741935484,363.741935483871,12,12,3
1835,31,0.04861337915199201,359.0,171.32258064516128,381.93548387096774,11,12,2
1073,31,0.04861337915199201,163.93548387096774,159.48387096774192,354.2258064516129,10,6,12
469,31,0.04861337915199201,65.64516129032258,122.6774193548387,294.1290322580645,13,4,13
1693,31,0.04861337915199201,320.51612903225805,310.64516129032256,363.03225806451616,11,11,2
585,31,0.04861337915199201,84.61290322580645,210.5483870967742,382.61290322580646,12,11,3
1028,31,0.04861337915199201,162.7741935483871,52.38709677419355,381.2258064516129,12,11,2
1007,31,0.04861337915199201,153.1290322580645,248.93548387096774,374.03225806451616,3,12,12
1456,31,0.04861337915199201,259.80645161290323,328.5806451612903,363.1290322580645,11,11,2
82,31,0.04861337915199201,25.419354838709676,228.96774193548387,383.19354838709677,11,11,3
976,31,0.04861337915199201,145.70967741935485,82.06451612903226,373.7096774193548,12,4,11
78,31,0.04861337915199201,24.806451612903224,110.7741935483871,382.03225806451616,10,11,4
1123,31,0.04861337915199201,181.80645161290323,72.93548387096774,342.0,12,12,1
1619,31,0.04861337915199201,300.741935483871,230.7741935483871,382.3225806451613,11,11,2
71,31,0.04861337915199201,25.06451612903226,358.96774193548384,256.16129032258067,12,5,11
1130,31,0.04861337915199201,182.32258064516128,171.3548387096774,362.3225806451613,11,12,2
1608,31,0.04861337915199201,300.1290322580645,171.74193548387098,362.0967741935484,11,11,2
828,31,0.04861337915199201,124.12903225806451,338.80645161290323,374.19354838709677,14,3,14
457,31,0.04861337915199201,63.96774193548387,347.8709677419355,383.9032258064516,12,12,3
686,31,0.04861337915199201,103.3225806451613,92.38709677419355,361.96774193548384,11,11,2
1399,31,0.04861337915199201,241.03225806451613,369.64516129032256,382.7096774193548,10,10,3
802,31,0.04861337915199201,123.0,52.87096774193548,381.06451612903226,12,12,2
1613,30,0.04704520563096,300.5,270.6666666666667,343.26666666666665,12,11,2
1684,30,0.04704520563096,320.46666666666664,152.53333333333333,362.0,11,11,1
1673,30,0.04704520563096,319.46666666666664,369.53333333333336,383.0,11,11,1
1242,30,0.04704520563096,202.53333333333333,210.46666666666667,382.4,10,10,2
750,30,0.04704520563096,105.76666666666667,318.76666666666665,375.6666666666667,13,6,11
675,30,0.04704520563096,102.93333333333334,152.9,361.96666666666664,13,13,2
580,30,0.04704520563096,83.86666666666666,170.83333333333334,382.3333333333333,11,11,2
1687,30,0.04704520563096,320.46666666666664,211.53333333333333,382.0,11,11,1
934,30,0.04704520563096,142.83333333333334,190.9,382.3333333333333,11,11,2
384,30,0.04704520563096,55.63333333333333,368.46666666666664,355.46666666666664,2,11,11
1316,30,0.04704520563096,222.16666666666666,191.13333333333333,382.3333333333333,11,11,2
573,30,0.04704520563096,83.83333333333333,91.9,381.3333333333333,11,11,2
1308,30,0.04704520563096,221.46666666666667,151.53333333333333,382.0,11,11,1
77,30,0.04704520563096,24.966666666666665,71.8,381.26666666666665,10,11,3
1761,30,0.04704520563096,340.46666666666664,73.53333333333333,381.0,11,11,1
1822,30,0.04704520563096,357.53333333333336,172.53333333333333,362.0,11,11,1
1767,30,0.04704520563096,340.46666666666664,231.53333333333333,382.06666666666666,11,11,2
829,30,0.04704520563096,122.93333333333334,368.46666666666664,383.4,11,12,2
724,30,0.04704520563096,105.26666666666667,280.0,334.6,13,3,13
815,30,0.04704520563096,123.46666666666667,112.53333333333333,362.0,11,11,1
1826,30,0.04704520563096,357.53333333333336,231.53333333333333,382.0,11,11,1
1605,30,0.04704520563096,300.46666666666664,132.53333333333333,362.0,11,11,1
1173,30,0.04704520563096,184.46666666666667,279.2,374.4,11,4,10
1404,30,0.04704520563096,241.86666666666667,210.83333333333334,382.3333333333333,11,11,2
1484,30,0.04704520563096,261.3,349.8,383.1666666666667,9,12,2
1854,30,0.04704520563096,360.8666666666667,259.46666666666664,38.3,10,3,11
1392,30,0.04704520563096,241.46666666666667,171.53333333333333,382.06666666666666,11,11,2
1455,30,0.04704520563096,259.93333333333334,269.3,343.3,11,11,2
1388,30,0.04704520563096,241.46666666666667,112.53333333333333,362.0,11,11,1
301,30,0.04704520563096,44.4,209.1,383.1,11,11,3
1838,30,0.04704520563096,359.46666666666664,211.53333333333333,382.0,11,11,1
247,30,0.04704520563096,44.666666666666664,151.3,362.43333333333334,12,12,3
1531,30,0.04704520563096,280.46666666666664,369.53333333333336,383.0,11,11,1
293,30,0.04704520563096,44.86666666666667,170.83333333333334,382.3666666666667,11,11,2
693,30,0.04704520563096,103.8,170.86666666666667,362.3666666666667,12,11,2
307,30,0.04704520563096,45.233333333333334,249.1,383.3333333333333,11,11,3
33,30,0.04704520563096,23.6,358.1666666666667,293.6333333333333,12,5,13
1540,30,0.04704520563096,281.1666666666667,250.13333333333333,382.3333333333333,11,11,2
296,30,0.04704520563096,45.0,190.03333333333333,362.96666666666664,11,12,3
1302,29,0.045477032109928005,221.82758620689654,33.89655172413793,381.0,12,11,1
1415,29,0.045477032109928005,242.27586206896552,219.82758620689654,373.2068965517241,11,3,11
234,29,0.045477032109928005,44.58620689655172,52.689655172413794,381.17241379310343,11,11,2
1764,29,0.045477032109928005,339.86206896551727,112.86206896551724,381.0,11,11,1
232,29,0.045477032109928005,44.3448275862069,35.55172413793103,342.0,11,11,1
239,29,0.045477032109928005,44.37931034482759,94.51724137931035,362.0,11,11,1
400,29,0.045477032109928005,62.96551724137931,172.82758620689654,382.0,12,12,1
826,29,0.045477032109928005,123.13793103448276,308.9655172413793,363.37931034482756,12,10,2
485,29,0.045477032109928005,65.10344827586206,279.9655172413793,295.17241379310343,11,4,11
561,29,0.045477032109928005,83.51724137931035,94.41379310344827,361.9655172413793,11,12,2
1754,29,0.045477032109928005,339.7241379310345,211.79310344827587,362.0,12,11,1
1039,29,0.045477032109928005,162.24137931034483,309.13793103448273,363.37931034482756,12,11,2
